"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: size"
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004533,0.009308,"MB/sec",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.002101,0.004989,"B/op",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,513.000000,NaN,"counts",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,45.000000,NaN,"ms",ISO-8859-1,2000
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,18.355847,0.674115,"ns/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,1651.290553,88.391001,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate.norm","avgt",1,5,48.000008,0.000001,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space","avgt",1,5,1651.188668,110.524510,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Eden_Space.norm","avgt",1,5,47.997486,2.105931,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space","avgt",1,5,0.004488,0.007442,"MB/sec",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.churn.Survivor_Space.norm","avgt",1,5,0.000130,0.000211,"B/op",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.count","avgt",1,5,187.000000,NaN,"counts",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.time","avgt",1,5,21.000000,NaN,"ms",UTF-8,4
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes","avgt",1,5,20.827067,3.695586,"ns/op",UTF-8,20
"com.openkappa.runtime.ascii.AsciiString.stringFromBytes:·gc.alloc.rate","avgt",1,5,1940.380729,365.383707,"MB/sec",UTF-8,20
