"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: logPermutations","Param: seed","Param: size"
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,49.114856,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,4.866516,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.013295,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.001542,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.002721,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000024,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.000044,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,0.007004,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,43.529733,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,39.051775,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000106,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,49.141646,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000032,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,4.982500,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000058,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000268,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,163.383377,NaN,"#/op",8,1,32
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,16.016867,0.105232,"ops/us",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.227552,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,4.327216,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,273.555080,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,5.110170,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.048865,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.002865,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.007497,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.000551,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.000232,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,1.048116,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,296.357539,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,216.883900,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.000457,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,273.667810,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000145,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,5.151396,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000246,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.000726,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,953.119163,NaN,"#/op",8,1,256
"com.openkappa.runtime.findbyte.FindByte.scan","thrpt",1,5,4.963625,0.029907,"ops/us",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:CPI","thrpt",1,1,0.191194,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-load-misses","thrpt",1,1,16.506758,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-loads","thrpt",1,1,1047.477682,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:L1-dcache-stores","thrpt",1,1,5.726340,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:L1-icache-load-misses","thrpt",1,1,0.119001,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-load-misses","thrpt",1,1,0.012535,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-loads","thrpt",1,1,0.059264,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-store-misses","thrpt",1,1,0.001393,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:LLC-stores","thrpt",1,1,0.003980,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:branch-misses","thrpt",1,1,2.000374,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:branches","thrpt",1,1,1169.152428,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:cycles","thrpt",1,1,700.917138,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-load-misses","thrpt",1,1,0.002427,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-loads","thrpt",1,1,1040.997532,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-store-misses","thrpt",1,1,0.000502,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:dTLB-stores","thrpt",1,1,5.206914,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-load-misses","thrpt",1,1,0.000701,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:iTLB-loads","thrpt",1,1,0.001502,NaN,"#/op",8,1,1024
"com.openkappa.runtime.findbyte.FindByte.scan:instructions","thrpt",1,1,3665.991067,NaN,"#/op",8,1,1024
